,State,Year,Quarter,Name,Type,Count,Amount
158,arunachal-pradesh,2018,4,Financial Services,TOTAL,561,100597.90379906222
159,arunachal-pradesh,2018,4,Others,TOTAL,2222,2446271.9688117937
160,arunachal-pradesh,2019,1,Recharge & bill payments,TOTAL,121303,26796894.998233315
161,arunachal-pradesh,2019,1,Peer-to-peer payments,TOTAL,93494,568554821.4456317
162,arunachal-pradesh,2019,1,Merchant payments,TOTAL,9214,11727218.401334248
163,arunachal-pradesh,2019,1,Financial Services,TOTAL,256,140622.87093631705
164,arunachal-pradesh,2019,1,Others,TOTAL,2239,2730548.5978140826
165,arunachal-pradesh,2019,2,Recharge & bill payments,TOTAL,131988,30420803.41271234
166,arunachal-pradesh,2019,2,Peer-to-peer payments,TOTAL,106527,704237943.4054435
167,arunachal-pradesh,2019,2,Merchant payments,TOTAL,16828,13955724.130712911
168,arunachal-pradesh,2019,2,Financial Services,TOTAL,267,160660.8821362781
169,arunachal-pradesh,2019,2,Others,TOTAL,3046,3880742.524023137
170,arunachal-pradesh,2019,3,Recharge & bill payments,TOTAL,216228,50946104.94289842
171,arunachal-pradesh,2019,3,Peer-to-peer payments,TOTAL,133484,841037395.2474606
172,arunachal-pradesh,2019,3,Merchant payments,TOTAL,16900,17178248.07427002
173,arunachal-pradesh,2019,3,Financial Services,TOTAL,864,64089.11350267195
174,arunachal-pradesh,2019,3,Others,TOTAL,2758,3419197.4177385764
175,arunachal-pradesh,2019,4,Recharge & bill payments,TOTAL,259183,63516906.09060433
176,arunachal-pradesh,2019,4,Peer-to-peer payments,TOTAL,177833,1100137447.9340453
177,arunachal-pradesh,2019,4,Merchant payments,TOTAL,19769,23192271.691576812
178,arunachal-pradesh,2019,4,Financial Services,TOTAL,314,305379.7987782319
179,arunachal-pradesh,2019,4,Others,TOTAL,2376,3421174.01227797
180,arunachal-pradesh,2020,1,Recharge & bill payments,TOTAL,329834,86011654.77474582
181,arunachal-pradesh,2020,1,Peer-to-peer payments,TOTAL,203429,1263912288.4066367
182,arunachal-pradesh,2020,1,Merchant payments,TOTAL,31181,28553052.133918796
183,arunachal-pradesh,2020,1,Financial Services,TOTAL,470,337812.94816169393
184,arunachal-pradesh,2020,1,Others,TOTAL,2261,2943873.0666838237
185,arunachal-pradesh,2020,2,Recharge & bill payments,TOTAL,522495,145198528.22961134
186,arunachal-pradesh,2020,2,Peer-to-peer payments,TOTAL,247861,1630654426.0441835
187,arunachal-pradesh,2020,2,Merchant payments,TOTAL,35169,46446966.612447515
188,arunachal-pradesh,2020,2,Financial Services,TOTAL,1310,2655507.6964110374
189,arunachal-pradesh,2020,2,Others,TOTAL,1939,1761404.4023099935
190,arunachal-pradesh,2020,3,Recharge & bill payments,TOTAL,514907,153463816.21184397
191,arunachal-pradesh,2020,3,Peer-to-peer payments,TOTAL,370418,2361603431.37578
192,arunachal-pradesh,2020,3,Merchant payments,TOTAL,72736,88145178.69272713
193,arunachal-pradesh,2020,3,Financial Services,TOTAL,1761,4030599.9171272423
194,arunachal-pradesh,2020,3,Others,TOTAL,3005,2695539.3607389224
195,arunachal-pradesh,2020,4,Peer-to-peer payments,TOTAL,522019,3254744938.4105625
196,arunachal-pradesh,2020,4,Recharge & bill payments,TOTAL,513895,152389181.21743062
197,arunachal-pradesh,2020,4,Merchant payments,TOTAL,167387,156682926.02384603
198,arunachal-pradesh,2020,4,Financial Services,TOTAL,1749,2391651.8783250954
199,arunachal-pradesh,2020,4,Others,TOTAL,4079,4055324.315454754
200,arunachal-pradesh,2021,1,Peer-to-peer payments,TOTAL,566209,3460488558.9436507
201,arunachal-pradesh,2021,1,Recharge & bill payments,TOTAL,450649,142358376.9003836
202,arunachal-pradesh,2021,1,Merchant payments,TOTAL,155966,204958020.0891498
203,arunachal-pradesh,2021,1,Financial Services,TOTAL,1558,2672460.4740365944
